sku,marca,descripcion,monto_total,unidades_totales,meses_con_venta,monto_acum,pct_acum,categoria_abc
334-110-040-000,CONDOR,CONECTOR GIRATORIO G8 PARA CINTA 13mm,137815,6,1,534768236.63978493,0.9742962735234444,C
415-100-020-010,CONDOR,CINTA PLANA EE1-602 X 1m TIPO 3,136960,18,4,534905196.63978493,0.9745458014656054,C
928-110-010-090,CONDOR,CINTA RATCHET DE EXPEDICION GDJ - GDJ 1 X 9m,136530,10,1,535041726.63978493,0.9747945459891395,C
334-110-010-000,CONDOR,CONECTOR GIRATORIO G8 PARA CINTA 6mm,133679,20,2,535175405.63978493,0.9750380962649875,C
424-100-040-050,CONDOR,CINTA PLANA EE2-604 X 5m TIPO 3,133482,4,2,535308887.63978493,0.9752812876257901,C
613-350-020-000,CONDOR,MOSQUETON CON OJO Y SEGURO 1t,132952,46,4,535441839.63978493,0.9755235133775876,C
109-100-010-000,CONDOR,ALICATE DE REPARACION CRAMPON DE MONTANA,132803,3,3,535574642.63978493,0.9757654676657214,C
264-260-050-000,CONDOR,CRAMPON TIPO ARANA KND-90,132161,5,4,535706803.63978493,0.9760062522916263,C
541-120-005-010,CONDOR,CINTA TUBULAR EE 5t X 1m,129610,10,1,535836413.63978493,0.97624238924098,C
928-110-230-040,CONDOR,CINTA RATCHET DE EXPEDICION GDJ - GDJ 2 X 4m,128674,10,1,535965087.63978493,0.9764768208883925,C
559-360-080-077,CONDOR,"CORDINO DE ANCLAJE GU/GU 1R 6X19 SC ENGR 3/4 X 7,7m",128115,2,1,536093202.63978493,0.9767102340915902,C
739-105-015-000,CONDOR,POLEA DE RESCATE DOBLE CON CONECTOR RAPIDO 1t,127543,2,1,536220745.63978493,0.9769426051658238,C
910-130-130-000,CONDOR,TENSOR CONECTOR RAPIDO - CONECTOR RAPIDO 3/4 X 9,127128,8,1,536347873.63978493,0.9771742201499873,C
541-120-003-030,CONDOR,CINTA TUBULAR EE 3t X 3m,126946,4,1,536474819.63978493,0.9774055035476623,C
631-140-050-000,CONDOR,CONECTOR RAPIDO OVALADO PERNO-CHAVETA 3/4,126576,14,2,536601395.63978493,0.9776361128409374,C
433-100-030-050,CONDOR,CINTA PLANA EE3-603 X 5m TIPO 3,126250,5,3,536727645.63978493,0.9778661281935792,C
613-260-050-000,CONDOR,MOSQUETON GIRATORIO 3t,123284,6,3,536850929.63978493,0.9780907397795998,C
541-120-004-020,CONDOR,CINTA TUBULAR EE 4t X 2m,123038,4,1,536973967.6397849,0.9783149031772896,C
613-470-060-000,CONDOR,MOSQUETON DE SEGURO CON OJO G8 16mm,122592,1,1,537096559.6397849,0.9785382540058921,C
559-400-080-080,CONDOR,CORDINO DE ANCLAJE OJ/OJ 1R 6X19 SC ENGR 3/4 X 8m,122195,2,1,537218754.6397849,0.9787608815386926,C
559-390-050-015,CONDOR,"CORDINO DE ANCLAJE OJ/OJ 1R 6X19 FC GALV 1/2 X 1,5m",122094,7,2,537340848.6397849,0.978983325059211,C
264-280-050-000,CONDOR,CRAMPON 10 PUNTAS CON ANTIBOTAS 1840 ALLOY STTEL,121485,3,3,537462333.6397849,0.9792046590403254,C
516-130-010-016,CONDOR,"CINTA TUBULAR QOS 1t X 1,6m",119280,1,1,537581613.6397849,0.9794219757235976,C
559-380-080-020,CONDOR,CORDINO DE ANCLAJE OJ/OJ 1R 6X19 FC ENGR 3/4 X 2m,119235,3,1,537700848.6397849,0.9796392104211995,C
264-240-070-000,CONDOR,CRAMPON 12 PUNTAS DOBLE CON ANTIBOTAS 4819 ALLOY STEEL,117720,1,1,537818568.6397849,0.9798536849345698,C
515-410-210-010,CONDOR,CINTA PLANA QOS EE2-601 X 1m,115878,1,1,537934446.6397849,0.9800648035011712,C
820-200-050-000,CONDOR,SEGURO PARA WINCHE MANUAL 2T (B020),115425,28,3,538049871.6397849,0.9802750967453587,C
910-150-070-000,CONDOR,TENSOR OJO - OJO 5/8 X 6,112180,10,1,538162051.6397849,0.9804794779117695,C
541-130-003-060,CONDOR,CINTA TUBULAR EN 3t X 6m,111200,2,1,538273251.6397849,0.9806820736124726,C
920-005-046-002-N,CONDOR,ARNES SEGURIDAD 5 ARGOLLAS INTEGRAL TALLA STD,110608,1,1,538383859.6397849,0.980883590746136,C
424-100-050-040,CONDOR,CINTA PLANA EE2-606 X 4m TIPO 3,110410,2,1,538494269.6397849,0.9810847471428503,C
516-130-020-018,CONDOR,"CINTA TUBULAR QOS 2t X 1,8m",110364,1,1,538604633.6397849,0.9812858197319906,C
613-470-020-000,CONDOR,MOSQUETON DE SEGURO CON OJO G8 8mm,109890,6,2,538714523.6397849,0.9814860287387376,C
397-780-010-020,CONDOR,CINTA G8 TOSH3A 6mm X 2m,109344,1,1,538823867.6397849,0.9816852429860189,C
694-110-030-000,CONDOR,ANCLA ESTRUCTURAL HORIZONTAL 2t,108526,2,1,538932393.6397849,0.9818829669160054,C
613-450-060-000,CONDOR,MOSQUETON DE SEGURO CONECTOR G8 13mm,108303,2,1,539040696.6397849,0.9820802845614484,C
325-120-130-000,CONDOR,GRAPA PARA CABLE DE VIA FERRATA 1.1/8,108030,20,1,539148726.6397849,0.9822771048271584,C
DIF-430-115-060,ANDINA,"DISCO DE DESBASTE PARA METAL 4,5 115 X 6 X 22",107400,125,1,539256126.6397849,0.9824727772934849,C
541-130-002-060,CONDOR,CINTA TUBULAR EN 2t X 6m,106998,2,1,539363124.6397849,0.9826677173544907,C
927-100-025-000,CONDOR,PLACA DE ANCLAJE INOXIDABLE 12mm,106600,10,1,539469724.6397849,0.9828619322977906,C
739-120-015-000,CONDOR,POLEA DE RESCATE SIMPLE CON MOSQUETON 1t,105900,2,1,539575624.6397849,0.9830548719084422,C
